number,name,is_ans,name_object,date_norm,date_buckets_2,author_norm,address,district,district_norm,protection_category_norm,base,id_object
116,Казармы лейб-гвардии Конного полка,1,Корпус офицерский,1844,1800-1849,Черник И.Д,"Большая Морская ул., 67; Конногвардейский пер., 5; Труда ул., 10",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,98
117,Казармы лейб-гвардии Конного полка,1,Казарма,1914,1900-1949,Апышков В.П,"Большая Морская ул., 67; Труда ул., 8-10; Якубовича ул., 26; Конногвардейский пер., 3-5, во дворе",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,97
118,Казармы лейб-гвардии Конного полка,1,Ограда,1846,1800-1849,Черник И.Д,"Конногвардейский пер., 3-5",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,99
119,Казармы лейб-гвардии Конного полка,1,Служебный флигель офицерского корпуса,1844,1800-1849,Черник И.Д,"Труда ул., 10, Конногвардейский пер., 5; Большая Морская ул., 67",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,101
120,Казармы лейб-гвардии Конного полка,1,Казармы с конюшнями,1846,1800-1849,Черник И.Д,"Труда ул., 8, Якубовича ул., 26; Конногвардейский пер., 3",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,100
121,,0,Казармы Крюковские (Морские) (три корпуса),1850,1850-1899,,"Большая Морская ул., 69; Крюкова кан. наб., 2; Труда ул., 7",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,102
122,,0,Дом Ф. Демидовой,1841,1800-1849,З.Ф. Краснопевков,"Большая Подьяческая ул., 29; Грибоедова кан. наб., 116",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,877
123,,0,Здание Подьяческой трансформаторной подстанции городского трамвая,1909,1900-1949,А.И. Зазерский,"Большая Подьяческая ул., д. 27, литера А",Адмиралтейский,1,1,Распоряжение КГИОП № 10-194 от 16.05.2016,876
124,,0,Дом Зиновьева,1844,1800-1849,К. А. Тон;С. Пономарев,"Большая Подьяческая ул., 12",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,871
125,,0,Дом А.А. Морозовой,1810,1800-1849,Б.Н. Басин,"Большая Подьяческая ул., 19; Римского Корсакова пр., 10",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,872
126,,0,Здания Декорационного зала и Экипажного заведения Дирекции Императорских театров,1839,1800-1849,А.К. Кавос;В.А. Шретер,"Большая Подьяческая ул., 20, лит. А; Вознесенский пр., 39, лит. В",Адмиралтейский,1,1,Распоряжение КГИОП № 10-22 от 21.07.2009,873
127,Здания Декорационного зала и Экипажного заведения Дирекции Императорских театров,1,Декорационный зал Дирекции Императорских театров,1839,1800-1849,А.К. Кавос;В.А. Шретер,"Большая Подьяческая ул., 20, лит. А",Адмиралтейский,1,1,Распоряжение КГИОП № 10-22 от 21.07.2009,874
128,Здания Декорационного зала и Экипажного заведения Дирекции Императорских театров,1,Здание Экипажного заведения,1894,1850-1899,В.А. Шретер,"Вознесенский пр., 39, лит. В",Адмиралтейский,1,1,Распоряжение КГИОП № 10-22 от 21.07.2009,875
129,,0,Дом Злобина,1810,1800-1849,К.К. Циглер Шафгаузен,"Большая Подьяческая ул., 3",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,868
130,,0,Дом Артемьевой,1790,1750-1799,А. Ламони,"Большая Подьяческая ул., 5",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,869
131,,0,Дом Месковской,1831,1800-1849,В.О. Мочульский,"Большая Подьяческая ул., 6",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,870
132,,0,Дом Н.П. Семенова,1914,1900-1949,С.Г. Гингер,"Большой Казачий пер., 4, лит. А",Адмиралтейский,1,1,Распоряжение КГИОП № 10-22 от 21.07.2009,652
133,,0,Дом М.В. Захарова,1901,1900-1949,П.Н. Батуев,"Большой Казачий пер., 6, лит. А",Адмиралтейский,1,1,Распоряжение КГИОП № 445-р от 06.08.2019,653
134,,0,Дом Зайцева (Ф.И. Кривдина),1832,1800-1849,А.П. Шильцов,"Большой Казачий пер., 9; Малый Казачий пер., б/№",Адмиралтейский,1,1,Распоряжение КГИОП № 10-22 от 21.07.2009,654
135,,0,Жилой дом театральных работников,1934,1900-1949,А.А. Оль;В.Г. Гевирц;Н.И. Смирнов;А.Е. Громов,"Бородинская ул., 13, лит. А",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,474
136,,0,Доходный дом Санкт-Петербургского мещанского общества,1911,1900-1949,Н.К. Прянишников,"Бородинская ул., 1; Фонтанки р. наб., 88",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,473
